Date : 2023-02-07 01:33:17
Directory : c:\Users\kryst\IdeaProjects\budget_manager_flutter\lib
Total : 46 files,  -33411 codes, -246 comments, -258 blanks, all -33915 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\flutter\generated_plugin_registrant.cc                | C++             |         -3 |         -4 |         -5 |        -12 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\flutter\generated_plugin_registrant.h                 | C++             |         -5 |         -5 |         -6 |        -16 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\flutter_window.cpp                             | C++             |        -45 |         -4 |        -13 |        -62 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\flutter_window.h                               | C++             |        -20 |         -5 |         -9 |        -34 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\main.cpp                                       | C++             |        -30 |         -4 |        -10 |        -44 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\resource.h                                     | C++             |         -9 |         -6 |         -2 |        -17 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\utils.cpp                                      | C++             |        -53 |         -2 |        -10 |        -65 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\utils.h                                        | C++             |         -8 |         -6 |         -6 |        -20 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\win32_window.cpp                               | C++             |       -183 |        -15 |        -48 |       -246 |
| c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\win32_window.h                                 | C++             |        -48 |        -29 |        -22 |        -99 |
| Total                                                                                                            |                 |    -33,411 |       -246 |       -258 |    -33,915 |
+------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
