"filename", "language", "Dart", "YAML", "C++", "Markdown", "HTML", "Groovy", "Java Properties", "JSON", "Swift", "XML", "comment", "blank", "total"
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\web\index.html", "HTML", 0, 0, 0, 0, -37, 0, 0, 0, 0, 0, -16, -6, -59
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, -1, -36
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\flutter_window.cpp", "C++", 0, 0, -45, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\flutter_window.h", "C++", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\main.cpp", "C++", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\resource.h", "C++", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\utils.cpp", "C++", 0, 0, -53, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\utils.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\win32_window.cpp", "C++", 0, 0, -183, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"c:\Users\kryst\IdeaProjects\budget_manager_flutter\windows\runner\win32_window.h", "C++", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -14, -27, -499, -13, -37, -89, -8, -32222, -36, -466, -246, -258, -33915
